Model,Color,Memory,Storage,Rating,Selling Price,Original Price
apple iPhone 12 Mini ,Green,4GB,128 GB,4.5,61999,64900
apple iPhone 12 Mini ,Blue,4GB,128 GB,4.5,61999,64900
apple iPhone 13 Pro ,Sierra Blue,6 GB,256 GB,0,129900,
apple iPhone 11 ,Yellow,4GB,64 GB,4.6,49900,
apple iPhone 12 ,Blue,4GB,128 GB,4.6,68999,70900
apple iPhone 12 ,White,4GB,256 GB,4.6,78999,80900
apple iPhone 12 ,Red,4GB,128 GB,4.6,68999,70900
apple iPhone 12 ,White,4GB,64 GB,4.6,63999,65900
apple iPhone 12 Mini ,White,4GB,64 GB,4.5,56999,59900
apple iPhone 12 Mini ,Purple,4GB,128 GB,4.5,61999,64900
apple iPhone 12 ,Black,4GB,256 GB,4.6,78999,80900
apple iPhone 12 ,Green,4GB,128 GB,4.6,68999,70900
apple iPhone 12 Mini ,Black,4GB,128 GB,4.5,61999,64900
apple iPhone 12 Mini ,Red,4GB,64 GB,4.5,56999,59900
apple iPhone 12 Mini ,Black,4GB,64 GB,4.5,56999,59900
apple iPhone 13 ,Pink,4GB,256 GB,0,89900,
apple iPhone 11 ,Yellow,4GB,128 GB,4.6,54900,
apple iPhone 12 Mini ,Red,4GB,128 GB,4.5,61999,64900
apple iPhone 12 Mini ,Green,4GB,64 GB,4.5,56999,59900
apple iPhone 11 ,Red,4GB,128 GB,4.6,54900,
apple iPhone SE ,Red,2 GB,256 GB,4.5,54900,
apple iPhone 13 Mini ,Starlight,4 GB,256 GB,0,79900,
apple iPhone 11 ,White,4GB,64 GB,4.6,49900,
apple iPhone 11 ,Green,4GB,64 GB,4.6,49900,
apple iPhone 12 ,Black,4GB,128 GB,4.6,68999,70900
apple iPhone 11 ,Purple,4GB,64 GB,4.6,49900,
apple iPhone 13 Mini ,Midnight,4 GB,128 GB,0,69900,
apple iPhone SE ,White,2 GB,256 GB,4.5,54900,
apple iPhone 12 Mini ,White,4GB,128 GB,4.5,61999,64900
apple iPhone 13 ,Blue,4GB,512 GB,0,109900,
apple iPhone 13 Mini ,Pink,4 GB,256 GB,0,79900,
apple iPhone 13 ,Red,4GB,128 GB,0,79900,
apple iPhone 13 ,Midnight,4GB,512 GB,0,109900,
apple iPhone 13 ,Starlight,4GB,512 GB,0,109900,
apple iPhone 13 Mini ,Midnight,4 GB,256 GB,0,79900,
apple iPhone 13 Mini ,Red,4 GB,256 GB,0,79900,
apple iPhone 13 Mini ,Red,4 GB,128 GB,0,69900,
apple iPhone 12 Pro ,Graphite,6GB,256 GB,4.6,119900,
apple iPhone 13 Pro Max ,Graphite,6 GB,256 GB,0,139900,
apple iPhone 13 Pro Max ,Sierra Blue,6 GB,128 GB,0,129900,
apple iPhone 13 Pro Max ,Silver,6 GB,256 GB,0,139900,
apple iPhone 12 Pro ,Silver,6GB,256 GB,4.6,119900,
apple iPhone 13 Pro Max ,Sierra Blue,6 GB,1 TB,0,179900,
apple iPhone 12 Pro Max ,Silver,,128 GB,4.6,119900,
apple iPhone 12 Pro ,Graphite,6GB,512 GB,4.6,139900,
